step,examples,loss,train_seconds,elapsed_seconds,sample_index_hash
274,1096,0.05584629997611046,27.425015279790387,43.55460354196839,618e126102f9b76edb89c98eda654a5d467f15d579819677356d6180067891b9
275,1100,0.05013132467865944,27.53898761270102,43.66858637495898,49a7d7e88b767bc76490131e9daf7163fbfe1b2313e1722ed10cda72364208b6
276,1104,0.05071282014250755,27.636781154666096,43.76639154192526,dfff23d243389d38df4fe3aaa7d6b074f50cf43a4d02ec9853b3f49cd1534a0b
277,1108,0.045552533119916916,27.750730237690732,43.88035187497735,cebff650005e90e9eccb6e740d6be62b76361ac4a52f3b3395335841b2800f1b
278,1112,0.05462238937616348,27.86461169575341,43.994246832909994,979c5ae859adfbea4fd9fdc22e893acc8b0b4595e5fac3c02b501ff07c42499f
279,1116,0.04706592485308647,27.966519695706666,44.096168000018224,042f514e60a73e6b62543ce5264ebda8a1419ac5509d8b09ca3b3dc85a9c3982
280,1120,0.0483781062066555,28.06936827872414,44.19902691699099,111ff81517899fcfd800d6e9506b09df83844f247dde9ef12e03e066785022b8
281,1124,0.04341953247785568,28.16793194564525,44.29759962495882,b7b8a8a9a74e4a465b313d1f623f4fc2f3548085fbf080f40470d7a512749ec2
282,1128,0.059581488370895386,28.2674724876415,44.397149374941364,1aaa03cc8886db9699f67a6f814fe5e5c93535d673357a747380998242ec8882
283,1132,0.04688195884227753,28.366999529651366,44.49668791692238,41d38e6182865228c82d7294674257184a8d2c0f3e3c8933cda183555ab2e2c4
284,1136,0.06212254613637924,28.47081752959639,44.60051575000398,d5fb02c04caae231f2c36cad7967da4b790787224fe64ae2eb4c3bb3f192129d
285,1140,0.0515667088329792,28.57148132158909,44.701191333006136,6a836dd731fefbbb967650b5730f8740dea734716a31740b7b371799e9e49631
286,1144,0.04852607101202011,28.671525779529475,44.80124566692393,a094b400ea303b2007679064f52740e8eb7b38cc26ae6b2832e9d2bdcc456073
287,1148,0.04698028042912483,28.770713446545415,44.90044399991166,da152301f9c3bf5b4403cd9d278690156cb3ee58c74a5ee150cb3abd28b1e90a
288,1152,0.06294285506010056,28.870339987566695,45.000081832986325,b14240b1fc427c92d47dd3977bc6461a0aa188a53ad3b33c3354d499f8aef90e
289,1156,0.05140424147248268,28.97247573756613,45.10222945793066,39caac721b6aa44a12e1ef7ddf3d7359387df03a36cf1c4ef563f7d6ff790cac
290,1160,0.03943485766649246,29.07585090456996,45.20561308297329,ca382fd9d970f16f7ff7d19bdb3fedd908f9ae85e520bd3f48f7cc669132b0a3
291,1164,0.05605868250131607,29.17513840459287,45.30491054197773,8c7f95c4e93e35d1e8d43233f335abcd355a92a31b4eea599948768db984e9a2
292,1168,0.0525602288544178,29.272491320502013,45.402272499981336,d317e8d0476c08d5c2bba00faac14f4864ec16b2637672711740c09cc90188ad
293,1172,0.0554562471807003,29.371691820560955,45.501481832936406,69dd935b71c27fa768eb1f84ba21fb24329772a13b7ef330b6f5a3597aa01a79
294,1176,0.0657128170132637,29.475311445537955,45.60511141701136,3e25ad55a24125636bc54f63ee5eae507ade121bc70cf1984ffd2a83cb8cb331
295,1180,0.05828407406806946,29.57486494560726,45.70467604196165,7b2d4882652e77c0f5f57a4df11965b9a741766256b721f5ad2268349f824712
296,1184,0.05193459615111351,29.67381048668176,45.80363283294719,7efbfdb773c1bd427b4f67bb4b70b5f5564679bbf5d9a95473c00adefd647590
297,1188,0.05993438512086868,29.774999320623465,45.90483408293221,ced2ddaadb902755b5d2cdbfbe5b74a2b45eb2bbe84ed1e21611340616fb3e67
298,1192,0.05588958412408829,29.91207727859728,46.04192741692532,454570026725b32d6492f65d2022901b11bac123b33322e893eb22ebe97b2212
299,1196,0.0533781535923481,30.030173069564626,46.16009820799809,04de7946700a5dced75897aec2da171bc8fc53552b9e0d0e0fd487a5f0a2d585
300,1200,0.05406792089343071,30.13597365352325,46.265913749928586,f85a431103e4dd3d92f4cafa6be9fc2eb9d7843d83ebe39efb54fe5a03f06da5
301,1204,0.05920267477631569,30.24595336150378,46.3759067079518,37487499e3f411606518c822e487ea39c5966ed1a288497b76be1671594dcb84
302,1208,0.05674786493182182,30.35161186149344,46.48157750000246,55000598a69ae4f2e8d3613089a1cf1544623afc2d4173f1370ab4fe740a0eb1
303,1212,0.04619821906089783,30.479090070468374,46.60906945797615,0e55f54c4153e7d6d6c157d55319a830e733716d3d638719e2ec2aa31b53a7f7
304,1216,0.04940301179885864,30.576676611439325,46.706669249921106,6fd8122d89de99ff3d08bee73ef36504942f59a39509ea07f80995ec10e9ca2e
305,1220,0.04673706740140915,30.677575820474885,46.80758166697342,7a80ebe0da34c89b32d154bc534f5c829ed4b5baf656628bf376e5564aa4271c
306,1224,0.05854398384690285,30.778625529492274,46.908644416951574,0e34e8896abc042291b685273adb37a09b72ffe2748028370c85e674046335a5
307,1228,0.053024567663669586,30.878101363545284,47.00813324993942,1d7731bd6635f7468ba24898af4482367da37e6add148548a1f9a310557127d0
308,1232,0.042622607201337814,30.98002073855605,47.110065207933076,5846aedabad866c454149751f632445329aff2b3d675cde642f6a1058e03e90c
309,1236,0.05275962874293327,31.08141407254152,47.21147229196504,1bf4da8c18ec0173b7d349c2cd259844c78361fa665d2492f8e1d53747473a22
310,1240,0.051135122776031494,31.18256307253614,47.31263533292804,32a10bef489e17383c08bc22211aaa0cbb128a798dcfbfa4b228dacfc031ca4c
311,1244,0.06159632280468941,31.28383944754023,47.41392583295237,5ab917cdf9c7cc9e4171fbf266dee1463cc6cf24c29ac433d6a53ee7868d6bda
312,1248,0.05352659150958061,31.385239197523333,47.51533883297816,520cb443b89720e5bc6fffb5a3ec20c9a3722b2168ddc02c0dce2f175ca10c8c
313,1252,0.04827065393328667,31.492242489475757,47.62235445796978,5a75a2d1223f9c1dbf6e0751e7e33c60b3753024e5b6b693d9a37334fcc5b660
314,1256,0.06263238936662674,31.59226469846908,47.72238783293869,e5f9e1f1d90aeb6d39850cc21b916cf77cf22789363731092f02a5e8f6e59149
315,1260,0.04757562652230263,31.69336411554832,47.823499666992575,6cb10dfe061aa68602cabb7e90df75673b7cf0090efdaaedce17cd39d8702163
316,1264,0.05371374264359474,31.794041865505278,47.92418683297001,480f9c816f3fca2e484ae2e9c951d7868bcc62525dd29d19eae5be31b772677d
317,1268,0.0665038600564003,31.89555311552249,48.02570758294314,7faf6f7f10a6f31badf0d222cc7b5881f86d4fe4285f77127c23db3d16f145de
318,1272,0.0506877675652504,31.999577698414214,48.12974074995145,60862c6349ebf05c41c0d16e86ccfbbd6c92bc014cba954a6dfd2e725b80c7c5
319,1276,0.06027509644627571,32.10326961544342,48.233442166936584,a4af844419a321de90c210ebe4c480b662e929f02fd209f6f29c00dbfda6221b
320,1280,0.05174718052148819,32.20442053244915,48.33460391697008,9f3d566959cd0257d12d43baf4d28f352aacb7c2997605ed4a110e662f3f58bd
321,1284,0.04564391449093819,32.306426240480505,48.43662329192739,706c5fcb4f28d063c52d8a805946ebda504108de82b4453e60ab15b2957d0093
