case_id,N,Z,T,score,temporal_dice,wrap_dice,spatial_dice,derived_z_spacing,confidence,status,score_gap,reason
CINE_SAX_028,275,11,25,2.0701566350839187,0.9741538728154814,0.9444346770399442,0.8225857875869883,,high,accepted,inf,all confidence gates passed
CINE_SAX_029,250,10,25,2.0542719396627342,0.9724484939944065,0.9587775048618074,0.8494025531878858,,high,accepted,inf,all confidence gates passed
CINE_SAX_030,250,10,25,2.1130114286967436,0.9761576363464403,0.9436927867880106,0.7829966307841475,,high,accepted,inf,all confidence gates passed
CINE_SAX_031,250,10,25,2.0653725149236104,0.9748007355505588,0.9441478474892844,0.8283768036667915,,high,accepted,inf,all confidence gates passed
CINE_SAX_032,330,11,30,2.0595770207604014,0.9774293075728402,0.9570838652693808,0.8523654596546595,,high,accepted,0.08675929368056168,all confidence gates passed
CINE_SAX_033,280,10,28,1.980826664964825,0.9613858588707215,0.6601499488679401,0.6020950016445579,,low,manual_review,0.03368593590114011,failed gates: wrap_dice
CINE_SAX_034,250,10,25,2.0704220650109955,0.9662012341165335,0.912850685656047,0.7748310888781184,,high,accepted,inf,all confidence gates passed
CINE_SAX_035,300,10,30,2.064838938203224,0.9761818502648512,0.9447186724926316,0.83224343481911,,high,accepted,0.11523230005345164,all confidence gates passed
CINE_SAX_036,330,11,30,2.068370753381994,0.978984342420059,0.9559011896120985,0.8454991210702225,,high,accepted,0.09036295556571128,all confidence gates passed
CINE_SAX_037,250,10,25,2.0847297706831416,0.9685302009954656,0.9302300809963512,0.7825607123041408,,high,accepted,inf,all confidence gates passed
CINE_SAX_038,390,13,30,2.0631516432511594,0.980292576145075,0.9580575615302064,0.8554910705691973,,high,accepted,0.10659947203565623,all confidence gates passed
CINE_SAX_039,250,10,25,2.241880876651035,0.9657482642313918,0.8569096278648646,0.5465252796766134,,high,accepted,inf,all confidence gates passed
CINE_SAX_040,250,10,25,2.0746891075146743,0.9629755099592833,0.942913337950403,0.7941752503542953,,high,accepted,inf,all confidence gates passed
CINE_SAX_041,275,11,25,2.0456797648209095,0.9680874736364873,0.9489464335795798,0.8394416160316449,,high,accepted,inf,all confidence gates passed
CINE_SAX_042,330,11,30,2.0608588619652615,0.9728611606270622,0.9684951447494938,0.8533586040383564,,high,accepted,0.094795649518842,all confidence gates passed
CINE_SAX_043,300,12,25,2.071943461763361,0.9736947237837769,0.941527859853102,0.8169738456572945,,high,accepted,0.10392965262347498,all confidence gates passed
CINE_SAX_044,250,10,25,2.1957816002126895,0.9729029537678774,0.9586445019262033,0.7086688092492687,,high,accepted,inf,all confidence gates passed
CINE_SAX_045,330,11,30,2.0554022956999973,0.9716612140134999,0.8328724870893859,0.7207926194163883,,high,accepted,0.11332865807511028,all confidence gates passed
CINE_SAX_046,360,12,30,2.0885751858122417,0.9748761427106507,0.9546195868857529,0.8157966864948125,,high,accepted,0.1331448614949584,all confidence gates passed
CINE_SAX_047,250,10,25,2.05596599440255,0.9726641483909982,0.9236749163493709,0.8130372187288173,,high,accepted,inf,all confidence gates passed
CINE_SAX_048,250,10,25,2.196581693907151,0.9686352877922703,0.9514584909270944,0.692147372604484,,high,accepted,inf,all confidence gates passed
